Team,Group,Score
1,Control,4.607142857142857
2,Treatment,2.6315789473684212
3,Control,3.5454545454545454
4,Treatment,5.071428571428571
5,Control,3.9166666666666665
6,Treatment,5.724137931034483
7,Control,5.1
8,Treatment,4.4
9,Control,3.9047619047619047
10,Treatment,4.6
11,Control,3.033333333333333
12,Treatment,5.8125
13,Control,7.0
