synchrony_neck_to_r_sho,synchrony_neck_to_l_sho,synchrony_r_sho_to_r_elb,synchrony_r_elb_to_r_wri,synchrony_l_sho_to_l_elb,synchrony_l_elb_to_l_wri,synchrony_neck_to_r_hip,synchrony_r_hip_to_r_knee,synchrony_r_knee_to_r_ank,synchrony_neck_to_l_hip,synchrony_l_hip_to_l_knee,synchrony_l_knee_to_l_ank,synchrony_neck_to_nose,synchrony_nose_to_r_eye,synchrony_r_eye_to_r_ear,synchrony_nose_to_l_eye,synchrony_l_eye_to_l_ear,normalized_distance
,,,,,,,,,,,,,0.06562379015300558,,0.1443846310212944,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,0.46259488151744665,,0.042378609269892786,0.4720583039169687,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,0.5,,0.088260797895449,0.4051074704906722,-1
,,,,,,,,,,,,,0.45112549605560515,,0.088260797895449,0.4385828872038202,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,0.8193310587965337,0.40966552939826684,,0.2577621168183132,0.31291697082581815,-1
,,,,,,,,,,,,,0.5447584851831683,,0.020865304969837295,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
0.7130666760768568,0.8622259285965583,,,,,,,,,,,0.35288311205347533,,,0.4625948815174465,0.9899753204274451,-1
0.9901688159907268,0.921004608656238,0.562309941365605,0.585634460934358,0.043107647013782224,0.09965355938986437,,,,,,,0.0027638890269823246,0.1630710348605558,0.7309184317190444,0.2951672353008665,,-1
0.9796486748998888,0.9256769634576658,0.5532304017999395,0.6002759146900123,0.18043157366324758,0.22531286461490585,,,,,,,0.23295235378397128,0.09033447060173305,0.6680445256478957,0.24223788318168682,,-1
0.9834094025828591,0.962505064958734,0.6274452665105413,0.6018038560635748,0.2738953858069406,0.25570353135841767,,,,,,,0.566076256155261,0.045691431607982835,0.8314120517163862,0.10513691342250686,,-1
,,,,,,,,,,,,,0.0683907593697111,0.4507662298565161,0.08232709701820354,0.007716225417219724,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
0.8545179389808261,0.8602340529167438,0.550634918737714,0.21600038697973567,0.3115757794693834,,,,,,,,0.25974226524550403,0.22840050243981624,0.4782230304541517,0.09512099523516217,,-1
0.8856186670940752,0.8471099866270606,0.6080842061266845,0.6070837568103441,0.30700572321128805,0.6746583419879479,,,,,,,0.25396247799941707,0.29123753353146153,0.5685575010558845,0.09905474396830952,,-1
0.8659257258465172,0.8628869910613292,0.7314487506141405,,0.24020464489831317,0.8620816871875826,,,,,,,0.33242411306602293,0.28812007180724286,0.5598812417774826,0.06521778270016339,,-1
0.8804535084467262,0.8800636617273202,0.7175367248439171,0.5181195119389047,0.2214726284659947,,,,,,,,0.281624177132741,0.23558687382010735,0.546338183609357,0.062325271627175605,,-1
0.8984133214714513,0.8682999536917335,,,0.2442690522044082,0.8902794691508159,,,,,,,0.18218681353238475,0.16676570751842978,0.6103674379048951,0.05082134733223176,,-1
0.9156150736823175,0.866148672362187,0.7998304003683099,0.3363496246819594,0.3301738543830244,0.9958142758002544,,,,,,,0.11929716200917284,0.23080282980050915,0.6542631949975822,0.02356773774068277,,-1
0.9107640956458308,0.8371756794096128,,,0.35062224543481046,,,,,,,,0.26711323654882424,0.24400626688996074,0.7891709940483408,0.1256659163780024,,-1
,0.9823561603899584,,,0.8229657168937854,0.9385828872038209,,,,,,,0.7628792241936071,0.16330354755013232,0.7581795723469169,0.2337501225046869,0.46819549748764727,-1
0.832713001790344,0.8851419321220995,,,0.3905408073021326,0.15851187631029906,,,,,,,0.4610944995465064,0.3607910254538721,0.877738434980561,0.20483276469913336,,-1
0.8431116891072656,0.849457475039339,,,0.3374782113993827,0.19952370089725924,,,,,,,0.5148024428207738,0.5,0.9975034646708512,0.11449829409740031,,-1
0.8016517224499271,0.894434771029403,,,0.2824450163180515,0.19123461417059273,,,,,,,0.6061014880970659,0.4999999999999999,0.9723383008666765,0.35248447730760035,,-1
0.8080130722352727,0.898710085677013,,,0.2030276095020388,0.0985127247675982,,,,,,,0.6293316327110496,0.5656237901530056,0.929553425045445,0.0832873071081095,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,0.934695637703965,,,0.8261972615865696,0.6248125391781962,,,,,,,0.8876482962291445,0.0745537423084105,0.7145761840483627,0.09125311321428771,0.4950265092126608,-1
,0.9439727658981014,,,0.816028987764483,0.6550091844409003,,,,,,,0.9128041388368342,0.0832873071081095,0.8328886079910701,0.06141711279617981,0.639208974546128,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,0.05771587675260892,0.5676077096140972,0.2951672353008666,0.14470088522894428,-1
,,,,,,,,,,,,,0.19306905666354712,0.43986812052981117,0.2607544321371519,0.13438618974457894,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
0.9235654086040983,1.0,,,0.7078411236368903,0.8318823007172935,,,,,,,0.5286571944475935,0.055599110580448204,0.9338096542810194,0.25415183545140785,,-1
0.966126535005563,0.9780562887679783,0.699199108466747,0.6906485992226911,0.46041498697050076,0.8323738443503874,,,,,,,0.6156412368054451,0.037405118482553346,0.9858552219993673,0.2744714469752366,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,0.7151833935666609,0.3431230966327067,,0.07679141243360764,0.8304986810771359,-1
0.5187187146432921,0.037405118482553346,,,0.8711980509967655,,0.21169340418718774,,,0.7791763453309359,,,0.6023029307280086,,,0.0423786092698928,0.5868365949640764,-1
0.2764485206575742,0.9812812853567058,,,0.9921408959050656,0.4653096615320477,0.25510913001234625,,,0.7321625453159388,,,0.8501743068328251,0.4999999999999999,,0.11449829409740031,0.1256659163780024,-1
0.6674276462165801,0.7764485206575744,,,0.9611706785860724,,0.22697369988609717,,,0.6590136807637756,,,0.9047255965763094,0.7048327646991335,,,,-1
,0.6861140500558413,,,0.9611706785860724,,0.23791264000293955,,,0.6498337812432384,,,0.7638832721429638,,,0.45112549605560515,0.5791668483211314,-1
0.037405118482553346,0.6069472017347102,,,0.832874116964659,0.15795392748526166,0.317729510717894,,,0.6667515501876408,,,0.5943819532200996,0.3743340836219976,,0.9511254960556036,0.5943215986722749,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,0.048874503944394854,,0.3743340836219975,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,0.2951672353008665,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
0.0,0.31830684952009863,,,0.8466723844886734,0.3006199479742122,0.25294328671345545,,,0.6904271179952435,,,0.5458857006811005,,,0.43858288720382055,0.44965609353548486,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
