synchrony_neck_to_r_sho,synchrony_neck_to_l_sho,synchrony_r_sho_to_r_elb,synchrony_r_elb_to_r_wri,synchrony_l_sho_to_l_elb,synchrony_l_elb_to_l_wri,synchrony_neck_to_r_hip,synchrony_r_hip_to_r_knee,synchrony_r_knee_to_r_ank,synchrony_neck_to_l_hip,synchrony_l_hip_to_l_knee,synchrony_l_knee_to_l_ank,synchrony_neck_to_nose,synchrony_nose_to_r_eye,synchrony_r_eye_to_r_ear,synchrony_nose_to_l_eye,synchrony_l_eye_to_l_ear,normalized_distance
0.949144320587103,0.9516949232493368,0.53885858575705,0.26879344862601995,0.3709251749858873,0.20434040611797477,,,,0.6446890572042652,,,0.11959227036081954,0.0760308156958992,0.9552631707603669,0.5126046847886334,,-1
0.9869611950114695,0.9977384827905942,0.6630909569325669,0.06687479324912099,0.5899120288771624,0.25238235947963594,0.7331833088021584,,,0.6932039909074712,,,0.2795518914268492,0.13627526364324893,0.9621006116071597,0.18066894120346633,,-1
0.9849447836962555,0.9698209398807507,0.5318993423306475,0.2792130883868353,0.7100508426956849,0.29460235543813995,,,,0.7260365560357065,,,0.2561007955050556,0.09033447060173305,0.9050033843145334,0.3523482873915329,,-1
0.9995921718865485,0.9992623180909515,0.5621737554840998,0.750975011718298,0.6462600650825006,0.21078230898318373,0.6725583826425645,,,0.7419617622871424,,,0.21764888082252642,0.11997631816224785,0.7832532830311455,0.2401642104754027,,-1
0.9840878201759498,0.9992255237732552,0.5343981648612945,0.7785389281584777,0.5330155168564581,0.4137203775730518,0.6545893665011421,,,0.7418735453128213,,,0.18419665028614007,0.18210600371149765,0.7796773337449038,0.4208331516788689,,-1
1.0,0.969707655623263,0.5244016904171871,0.9056893234848497,0.5312563104877623,0.386451497344387,0.6817019185018871,,,0.742353050113454,,,0.29279924002083746,0.1815875838160208,0.6343861897445789,0.2192989055055654,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
0.9546042580002791,0.9506321199422663,0.5519762612778356,0.9618885728882021,0.47275840971354943,0.9003041487233738,0.7153845558670171,,,0.7179173312284812,,,0.2592671252967753,0.19611249133255704,0.7614386894669157,0.4416984566487062,,-1
0.9395518663221607,0.9535009319431289,0.5387593114555644,,0.5041439269717529,0.09717958069505794,0.7227594011287017,,,0.7469976591703437,,,0.2401642104754027,0.14880553059723445,0.7694681490873684,0.40966552939826695,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
0.98970729363328,0.9430546793737399,0.8463966721748734,0.02107242559121436,0.5461191100164197,0.1355607636375642,0.6917869650376209,,,0.7249939912079169,,,0.16330354755013232,0.19985927391179403,0.6059626195384381,0.39361969016564635,,-1
0.972590770311634,0.9263053931651283,0.8500115706430336,0.005106466194777366,0.5503649358893405,0.14805034735434197,0.6872856345157852,,,0.7129487306035158,,,0.1443846310212944,0.07348289424794163,0.43085975653418357,0.3607910254538721,,-1
0.9197298256217185,0.9593964613136501,0.8463966721748734,0.02269783424409122,0.44993295338736805,0.7993280895977869,0.6623241559941879,,,0.7586602635269124,,,0.19569530936582025,0.005175656475166414,0.4612574469884764,0.2341943790776304,,-1
0.9044898729231003,0.9514330418154335,0.8677818625144597,0.02269783424409122,0.38285123332657456,0.9676573574870238,0.41065289427782337,,,0.9874309995814814,,,0.18267088357422412,0.1823420510764191,0.46077770346785896,0.18943367746788686,,-1
0.9248873700402742,0.8693580848728463,0.8594160388826896,0.5920986538951756,0.33757787897783575,0.5227964867847763,,,,0.95230157217127,,,0.024240460039460676,0.281624177132741,0.5472050503262368,0.03697115824140629,,-1
