synchrony_neck_to_r_sho,synchrony_neck_to_l_sho,synchrony_r_sho_to_r_elb,synchrony_r_elb_to_r_wri,synchrony_l_sho_to_l_elb,synchrony_l_elb_to_l_wri,synchrony_neck_to_r_hip,synchrony_r_hip_to_r_knee,synchrony_r_knee_to_r_ank,synchrony_neck_to_l_hip,synchrony_l_hip_to_l_knee,synchrony_l_knee_to_l_ank,synchrony_neck_to_nose,synchrony_nose_to_r_eye,synchrony_r_eye_to_r_ear,synchrony_nose_to_l_eye,synchrony_l_eye_to_l_ear,normalized_distance
1.0,0.9984084638317935,0.9134565234760499,,0.9072264209222577,0.75514823617242,,,,,,,0.8986936737822558,0.8654014149002545,,0.9812974407587237,0.9887171431285944,-1
0.9941060461651992,0.9806789637788984,0.9574336046945989,0.571707825951477,0.905453976357366,0.6919565691695893,0.986194129628624,,,0.9717041685071417,,,0.806162769402751,0.982105332136108,0.49642363492124786,0.8524163823495667,,-1
0.9882161311296587,0.9911682415224473,0.9258325513049565,0.2597163669141902,0.9091079142107349,0.4303955127269361,0.999817744144701,,,0.9754948829404542,,,0.7347733855878746,0.9196094772218562,,0.9660850840170616,0.8963204898115968,-1
0.9982430175520296,0.9803892837758195,0.8279791303773694,0.30677671578006693,,,,,,,,,0.6655586127046244,0.8596494527527827,,0.9548327646991336,0.9548327646991333,-1
0.9810736953315691,0.9964131873254524,0.8542091994120847,,,,,,,,,,0.5319279616810937,0.9969685689254713,,0.9832622916434268,0.8049118000417893,-1
0.9810592443306104,0.9985432143533562,0.8880458498099341,,,,0.997226127855157,,,,,,0.8559470441000737,0.999999995256813,,0.9544436330027843,0.906118618366454,-1
0.9799462772361217,0.9949248738220783,0.9312472998016498,,,,,,,,,,0.8742852705743535,0.9541142334451178,,0.9501520743616867,0.8713206588554655,-1
0.9925987785896129,0.9951645649561321,0.9069166680593861,,0.8801651123878299,,,,,,,,0.8572062372821639,0.7951672353008665,,0.9745893263338835,0.926381006305919,-1
0.9832551397372966,0.989579040197227,0.9060992930389014,,0.8759997882881556,,,,,,,,0.8904887125656835,0.7951672353008665,,0.9220208696226306,0.9692350856198177,-1
0.9907834252134178,0.9982094396911474,0.8791692519801918,,,,,,,,,,0.8864275405936326,0.7931398112134741,,0.9355990254983826,0.9723333355760506,-1
0.9901970398414054,0.9924226248244282,0.8685299908224561,,,,,,,,,,0.881148369644826,0.7353191928107514,,0.9743852815629959,0.9899620075013296,-1
0.9958696899094,0.9922378831816883,0.8843873789900916,,0.904116411223365,,,,,,,,0.8529339589441272,0.7008788079989351,,0.985966017157669,0.9842103450908015,-1
0.998024698048412,1.0,0.8848372180392667,,,,,,,,,,0.6776036278270546,0.7255627480278025,,0.8331035337428937,0.925974826322829,-1
0.9942131851332768,0.9941060461651992,0.8933995438377328,,,,,,,,,,0.6746159433734191,,,0.9081900200559685,0.9582658660941511,-1
0.9925987785896129,1.0,0.8969116062219958,,0.8785647789378811,,,,,,,,0.7103632754571154,0.9110699761327787,0.75,0.9912413885823126,0.9673091122874391,-1
0.9868388136841275,0.9886366195061823,0.8827891689500602,,,,,,,,,,0.5798333417509961,0.8815671540252137,0.8094667041626554,0.9930308243184381,0.9140862158023741,-1
0.9765956083402959,0.9944161888596992,0.8769758262106503,,,,,,,,,,0.5319979651981307,0.8958103218666857,,0.9745452451977334,0.930077626794483,-1
0.9712195712476301,0.9890281443839891,0.8766364657920395,,,,,,,,,,0.5107254857842611,0.8958103218666857,,0.9692914436019108,0.962889521870986,-1
0.9712195712476301,0.9835503548102014,0.8723844874077432,,,,,,,,,,0.515070743306798,0.9295534250454456,,0.9812974407587226,0.9684394954557447,-1
