synchrony_neck_to_r_sho,synchrony_neck_to_l_sho,synchrony_r_sho_to_r_elb,synchrony_r_elb_to_r_wri,synchrony_l_sho_to_l_elb,synchrony_l_elb_to_l_wri,synchrony_neck_to_r_hip,synchrony_r_hip_to_r_knee,synchrony_r_knee_to_r_ank,synchrony_neck_to_l_hip,synchrony_l_hip_to_l_knee,synchrony_l_knee_to_l_ank,synchrony_neck_to_nose,synchrony_nose_to_r_eye,synchrony_r_eye_to_r_ear,synchrony_nose_to_l_eye,synchrony_l_eye_to_l_ear,normalized_distance
,,,,,,,,,,,,,0.639208974546128,,0.8492173957204281,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,0.9625948815174475,0.8191792296144931,0.5423786092698928,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,0.8743340836219975,0.7834516297061794,0.5374051184825532,,-1
,,,,,,,,,,,,,0.9232085875663915,0.766249877495313,0.5374051184825532,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,0.8193310587965337,0.7951672353008666,0.7309184317190441,0.5374051184825532,,-1
,,,,,,,,,,,,,0.9791346950301646,,0.4552415148168317,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
0.9208331516788699,0.6544594529945458,,,,,,,,,,,0.35288311205347533,0.6256659163780023,0.11212285820987691,,,-1
0.9773741616133508,0.9337992630336138,0.6860098057842385,0.15789209372636323,0.7947878998639389,0.3280888078181302,,,,,,,0.0027638890269823246,0.6165719668036842,,0.9251897630348932,0.12413004535930505,-1
0.9842841865399801,0.9617441020177996,0.8473022473426994,0.49652123805532605,0.7798989245206088,0.3290675412495917,,,,,,,0.23295235378397128,0.8480965874200462,,,0.4152427814602142,-1
0.96030793900614,0.9856065285354536,0.8496234031732695,0.9422841232473913,0.796826716123129,0.20020848933061675,,,,,,,0.566076256155261,0.9740299348986259,,0.9665245832868538,0.8586182701619738,-1
,,,,,,,,,,,,,0.9427768629108899,0.9548053381491075,0.9288405252623982,0.5867122065771545,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
0.8782637853914029,0.8364882065061671,0.7452250472716453,0.0024023273606928798,0.9842841865399714,,,,,,,,0.25974226524550403,0.9422841232473919,,0.7341943790776303,0.6362752636432489,-1
0.8800636617273199,0.8526649919938165,0.5732556007066012,0.477821156822117,0.8743340836219975,0.5453957419997209,,,,,,,0.25396247799941707,0.7970232643639878,,0.8126844581362417,0.6736803821258022,-1
0.8628869910613292,0.8659257258465168,0.44572231495166903,0.38132962371544515,0.936966420667496,,,,,,,,0.33242411306602293,0.8979939782485986,,0.7486681672439953,0.6800666520999366,-1
0.8800636617273199,0.8804535084467259,0.40544008819529087,,0.9015041845732129,0.7442190586501876,,,,,,,0.281624177132741,0.9935041053254945,,0.8332342924815701,0.6096200771453819,-1
0.8682999536917332,0.8984133214714509,0.4258944487458406,0.13678851710527182,,,,,,,,,0.18218681353238475,0.9939371378509425,,0.8779927776647379,0.5391735021908273,-1
0.8828979585707973,0.8988657874737067,0.4628219033776746,0.20405639950794793,0.9324784493629605,0.8635210506262613,,,,,,,0.11929716200917284,0.8948630865774928,,0.8979018213626803,0.4839541607673794,-1
0.854352350075603,0.8935874249798405,0.6081687489807448,0.012055751327748965,,,,,,,,,0.26711323654882424,0.8656138102554212,,0.7647140064766156,0.8134463292090582,-1
,0.981373723249531,,,0.8368737732739859,0.7359575331185769,,,,,,,0.7628792241936071,0.9295534250454461,0.6947285374858096,0.5324997549906264,0.40474446262653996,-1
0.8664555282828382,0.8513994056296054,0.8137493948685248,0.6755834883770616,,,,,,,,,0.4610944995465064,0.8743340836219978,,0.718375822867259,0.9174288003203057,-1
0.8703140193473675,0.8222551447992372,0.7286355851839996,0.6323905230140561,,,,,,,,,0.5148024428207738,0.9710826421944482,,0.6434156519029538,0.8992610806687096,-1
0.8960410412264452,0.8000454522528848,0.7480550459004165,0.4355940839405264,,,,,,,,,0.6061014880970659,0.9003041487233734,,0.7527886260309735,0.8228289344341905,-1
0.8992446109690082,0.8074785469432774,0.7462209550703598,0.4179834850699799,,,,,,,,,0.6293316327110496,0.7648748909241304,,0.7527886260309735,0.7422378831816867,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,0.973231518358599,,,0.6684077847466731,0.7048327646991333,,,,,,,0.8876482962291445,0.8765717537471946,0.7698995823150108,0.9576213907301069,0.9894492571507069,-1
,0.9813778843806513,,,0.6680253157194733,0.7121922030032689,,,,,,,0.9128041388368342,0.8743340836219978,0.9435599126665059,0.9809614964737156,0.8627604538885534,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,0.9096655293982676,0.7966042978088977,0.7374513585482576,0.7804888778059492,-1
,,,,,,,,,,,,,0.9340536529894246,0.9470706478808206,0.6121228582098769,0.7474474213339479,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
0.9422841232473911,0.9812812853567056,,,0.7274747126868923,0.7507735577406492,,,,,,,0.5286571944475935,0.9332332671389503,0.9162924314456449,0.7570157868291942,,-1
0.9848452496488564,0.9967750034112655,0.7620781169458692,0.7198978755447629,0.9991377615578592,0.8031245680283156,,,,,,,0.6156412368054451,0.8743340836219975,0.9858552219993673,0.8885995878853191,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,0.7151833935666609,0.9167126928918902,0.7337501225046871,0.663372798041795,,-1
0.018718714643292205,0.5374051184825532,0.29113075098139607,,,,0.4999999999999999,,,0.49086974951812357,,,0.6023029307280086,0.5704465749545544,,,,-1
0.9812812853567056,0.2764485206575743,0.42320858756639246,0.2757679195826051,,,0.4499782249330565,,,0.5372934503952287,,,0.8501743068328251,0.7048327646991335,,0.09033447060173312,0.7486681672439954,-1
0.7577621168183128,0.6861140500558411,0.38701648078480166,,,,0.3830881480205204,,,0.5028992326293524,,,0.9047255965763094,,,0.669501318922864,0.7773227576421747,-1
0.6674276462165799,,0.38701648078480166,,,,0.3697032449619355,,,0.5180431762842423,,,0.7638832721429638,0.20483276469913345,,,,-1
0.5882607978954488,0.018718714643292205,0.258719919163387,0.8791831067193878,,,0.38158543408008117,,,0.6028956268254535,,,0.5943819532200996,0.2951672353008666,,0.9697076556232628,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,0.8304986810771356,,0.8440417392452613,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,0.6559582607547387,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
,,,,,,,,,,,,,,,,,-1
