synchrony_neck_to_r_sho,synchrony_neck_to_l_sho,synchrony_r_sho_to_r_elb,synchrony_r_elb_to_r_wri,synchrony_l_sho_to_l_elb,synchrony_l_elb_to_l_wri,synchrony_neck_to_r_hip,synchrony_r_hip_to_r_knee,synchrony_r_knee_to_r_ank,synchrony_neck_to_l_hip,synchrony_l_hip_to_l_knee,synchrony_l_knee_to_l_ank,synchrony_neck_to_nose,synchrony_nose_to_r_eye,synchrony_r_eye_to_r_ear,synchrony_nose_to_l_eye,synchrony_l_eye_to_l_ear,normalized_distance
0.830498681077136,0.9905552957656519,0.47027073474956227,0.7059860601265496,0.8349818448000107,0.7199875150502774,,,,,,,0.10007788995096256,0.8466723844886734,,0.27964300166424005,,-1
0.9764322622593172,0.9820328782295129,0.6399547464763956,,0.7886963844085011,0.822608269010665,,,,0.9210576065631695,,,0.565003504764005,0.9874202191652037,0.6893857837117495,0.5614171127961796,,-1
0.9836799920623811,0.9838524336238912,0.6594370226994126,0.8650999929558791,0.7919911917961773,0.3701894822020203,,,,0.9422883109017082,,,0.527451339044372,0.9784279289898405,0.8948630865774931,0.5423786092698928,,-1
0.9844942073509267,0.9844757663633765,0.6229168042827375,0.5630335793325034,0.7955726886539776,0.27573899283906056,0.9015966275449451,,,0.936064258535434,,,0.5724689002463302,0.9679670727495615,0.9096655293982671,0.8480965874200462,,-1
0.9820488169234819,0.9833502478387883,0.6771108764979765,0.4046920386109274,0.7492652534384994,0.12333966690561451,,,,,,,0.3085313168719733,0.9749245119283202,,0.5153990872312466,,-1
0.9969705609998396,0.9964360357078484,0.6067430147702502,0.6597616922617808,0.773137595008037,0.48466273251728403,,,,,,,0.16899964859930872,0.9503648993178954,,,,-1
0.9848452496488564,0.9851975571792256,0.6828890534671115,0.7695160221073015,0.7842154529076945,0.6135796514848456,0.8902035359467513,,,0.9466462751785528,,,0.24599130156253557,0.9096655293982671,,0.1251470739726102,,-1
0.9709670402759103,0.9845100984440327,0.4981350739109238,0.4013260094386639,0.8497237968712821,,,,,,,,0.07092254290092936,0.9540592069584839,,0.1819283258561144,,-1
0.9962819514551313,0.9996305167146836,0.6975774398452297,0.7217088802261911,0.8212054438894706,0.17135734798598523,,,,0.9407328321003341,,,0.16626155161183576,0.8405629773005874,,0.24223788318168682,,-1
0.9951805342627926,0.9825361565020209,0.6842546246819596,0.7457208745398176,0.9460126504699162,0.4174288003203054,0.8300427586635313,,,0.9594359870476994,,,0.21137019192592732,0.8282086917728676,,0.2951672353008665,,-1
0.9584389067045332,0.964999323040018,0.7297578986181186,0.7830691932569611,0.8770562876164721,0.6422696229476306,,,,0.9774712565929755,,,0.22247049379303152,0.8106914689374927,,0.15710120346278333,,-1
